pcd_file_name,sample_points,sample_points_not_labeled,sample_objects_count,sample_organs_count,sample_plants_count,SPOI
51-97-0_11-20220705T054818.pcd,37474,4431,26,26,7,0.7101766495938535
51-97-0_2-20220705T054818.pcd,49424,1178,35,35,7,0.5892651857900943
51-97-0_2-20220709T095212.pcd,71705,2491,35,31,8,1.2718041679397851
51-97-0_4-20220705T054818.pcd,40509,964,18,17,5,0.350249093224884
51-97-0_4-20220709T095212.pcd,55803,8102,15,13,4,0.3409687182941602
51-97-1_10-20220701T081025.pcd,17137,610,16,16,6,0.1298357094709738
51-97-1_10-20220702T053351.pcd,19695,748,21,21,6,0.161468311661057
51-97-1_2-20220705T054818.pcd,46978,660,43,43,8,0.5638397834858364
51-97-1_2-20220709T095212.pcd,77829,1601,9,3,7,0.9228367933395996
51-97-1_6-20220706T054932.pcd,35413,5770,12,12,3,0.1272732968635249
51-97-1_6-20220707T045320.pcd,38427,7027,24,24,3,0.213636485281472
51-97-1_6-20220708T032429.pcd,41402,7343,22,22,3,0.2188393879814502
51-97-1_7-20220701T081025.pcd,24356,217,23,23,6,0.0644375668516512
51-97-1_7-20220702T053351.pcd,29339,355,32,32,6,0.1634891964384944
51-97-1_8-20220705T054818.pcd,56943,37787,10,10,3,0.0
50-27-0_11-20220524T041419.pcd,14708,338,20,20,20,1.065887656688411
50-27-0_11-20220525T030449.pcd,20433,539,20,20,20,1.9809821420810567
50-27-0_11-20220527T045102.pcd,31885,925,34,34,19,1.9688841771459025
50-27-0_11-20220531T042054.pcd,27354,577,32,32,7,0.3471594697378724
50-27-0_11-20220601T033109.pcd,29713,450,27,27,7,0.4075027132276644
50-27-0_11-20220602T052138.pcd,36575,387,37,36,7,0.6085959189515414
50-27-0_2-20220530T074538.pcd,13582,380,18,18,7,0.1570510391000464
50-27-0_2-20220531T042054.pcd,16261,281,29,29,7,0.2874957423101618
50-27-0_2-20220601T033109.pcd,19010,772,31,31,7,0.3758453306693816
50-27-0_4-20220523T042520.pcd,4678,108,12,12,9,0.0
50-27-0_4-20220524T041419.pcd,9170,232,9,9,9,0.1562429668053309
50-27-0_4-20220525T030449.pcd,11931,255,10,10,9,0.1035150721324938
50-27-0_4-20220527T045102.pcd,17210,141,10,10,10,0.1943280198404724
50-27-0_4-20220530T074538.pcd,15554,2,5,5,5,0.0
50-27-0_4-20220531T042054.pcd,15886,62,18,18,5,0.0
50-27-0_4-20220601T033109.pcd,17513,84,18,18,5,0.0585324616033473
50-27-0_4-20220602T052138.pcd,20658,412,20,20,5,0.0537053621453524
50-27-0_5-20220524T041419.pcd,11355,146,11,11,11,0.3631911675256415
50-27-0_5-20220525T030449.pcd,16153,402,17,17,11,0.2787590811451526
50-27-0_5-20220527T045102.pcd,21698,532,18,18,12,0.4641940634123425
50-27-0_5-20220530T074538.pcd,15038,10,10,10,7,0.0161782679498126
50-27-0_5-20220601T033109.pcd,23385,217,18,17,7,0.3811998024252176
50-27-0_5-20220602T052138.pcd,26314,268,17,15,7,0.2356621345783073
50-27-1_11-20220527T045102.pcd,22493,420,30,30,14,0.4423635417401207
50-27-1_11-20220530T074538.pcd,20755,164,26,26,8,0.250132618698409
50-27-1_11-20220531T042054.pcd,32673,267,34,34,8,0.6408197937252316
50-27-1_2-20220530T074538.pcd,13495,212,17,17,8,0.2229285505370048
50-27-1_2-20220531T042054.pcd,17295,283,25,25,8,0.3684563759493555
50-27-1_2-20220601T033109.pcd,19642,298,44,44,8,0.3841303714591681
50-27-1_3-20220601T033109.pcd,18677,163,19,19,4,0.0344038674955164
50-27-1_8-20220601T033109.pcd,41088,179,38,38,8,0.7897682012627483
50-27-0_0-20220524T041419.pcd,7246,460,15,15,15,0.4804630521732619
50-27-0_0-20220525T030449.pcd,9024,1253,14,14,14,1.2587005189267046
50-27-0_0-20220527T045102.pcd,15805,327,22,22,18,1.6814058604335735
50-27-0_0-20220530T074538.pcd,6271,10,6,6,2,0.0
50-27-0_0-20220531T042054.pcd,7231,130,10,10,2,0.0
50-27-0_0-20220601T033109.pcd,8249,191,9,9,2,0.0
50-27-0_0-20220602T052138.pcd,10606,327,10,10,2,0.0
50-27-0_1-20220523T042520.pcd,5172,31,17,17,17,0.4765255450162864
50-27-0_1-20220524T041419.pcd,6735,160,17,17,17,0.721301342372101
50-27-0_1-20220525T030449.pcd,9111,340,17,17,17,0.6404948041689501
50-27-0_1-20220527T045102.pcd,15956,348,17,17,17,1.1508887149749738
50-27-0_1-20220530T074538.pcd,8764,22,8,8,5,0.0282249384861866
50-27-0_1-20220531T042054.pcd,10282,225,13,13,5,0.0
50-27-0_1-20220601T033109.pcd,12039,155,25,25,5,0.0104647587298671
50-27-0_1-20220602T052138.pcd,17609,495,5,0,5,0.156159089968379
50-27-0_10-20220523T042520.pcd,4933,248,15,15,15,0.12510436578354
50-27-0_10-20220524T041419.pcd,7246,331,16,16,16,0.4804630521732619
50-27-0_10-20220525T030449.pcd,9024,596,16,16,16,1.2715639982359053
50-27-0_10-20220527T045102.pcd,15805,416,21,21,17,1.6495992804276272
50-27-0_10-20220530T074538.pcd,15491,44,20,20,5,0.0247895701099729
50-27-0_10-20220531T042054.pcd,24038,91,9,5,5,0.1136556835882851
50-27-0_10-20220601T033109.pcd,23672,129,27,27,5,0.1454313165035048
50-27-0_10-20220602T052138.pcd,28520,128,27,27,5,0.2363177705597189
50-27-0_3-20220523T042520.pcd,9888,154,11,10,11,0.1212711528137054
50-27-0_3-20220524T041419.pcd,15100,207,17,17,11,0.1416419684931062
50-27-0_3-20220525T030449.pcd,20313,272,17,9,12,0.6005866789554415
50-27-0_3-20220527T045102.pcd,26285,145,11,11,11,0.6978277291841902
50-27-0_3-20220530T074538.pcd,8834,26,3,3,2,0.0
50-27-0_3-20220531T042054.pcd,10918,13,4,3,2,0.0
50-27-0_3-20220601T033109.pcd,12870,65,5,4,2,0.0
50-27-0_3-20220602T052138.pcd,15444,143,7,7,2,0.0
50-27-0_6-20220523T042520.pcd,6092,24,31,31,9,0.0
50-27-0_6-20220524T041419.pcd,11941,58,42,42,11,0.1147423424855995
50-27-0_6-20220525T030449.pcd,16325,443,11,11,11,0.1262828252704995
50-27-0_6-20220527T045102.pcd,25586,80,16,15,16,0.1626209431691854
50-27-0_6-20220530T074538.pcd,5602,6,2,0,2,0.0
50-27-0_6-20220531T042054.pcd,11974,8,7,6,2,0.0
50-27-0_6-20220601T033109.pcd,13753,74,11,11,2,0.0026106093948308
50-27-0_6-20220602T052138.pcd,17360,61,2,0,2,0.0
50-27-0_7-20220523T042520.pcd,5936,118,11,11,11,0.0207463585941118
50-27-0_7-20220524T041419.pcd,11394,109,14,14,14,0.2046030611315181
50-27-0_7-20220525T030449.pcd,18866,327,14,14,14,0.625474912172419
50-27-0_7-20220527T045102.pcd,27682,174,15,15,15,0.3908732041994064
50-27-0_7-20220530T074538.pcd,12674,8,22,21,5,0.0
50-27-0_7-20220531T042054.pcd,23631,85,17,15,5,0.1324602804211784
50-27-0_7-20220601T033109.pcd,27854,169,5,0,5,0.1825687771153263
50-27-0_7-20220602T052138.pcd,31981,334,5,0,5,0.1437949686994791
50-27-0_8-20220523T042520.pcd,7843,13,12,12,12,0.0323687514675509
50-27-0_8-20220524T041419.pcd,12414,232,12,12,12,0.2046108434263633
50-27-0_8-20220525T030449.pcd,17730,158,13,13,13,0.3507436809667548
50-27-0_8-20220527T045102.pcd,24397,196,13,13,13,0.3151913294854966
50-27-0_8-20220530T074538.pcd,14729,30,7,0,7,0.0578049797744826
50-27-0_8-20220531T042054.pcd,33927,189,7,0,7,0.4127173852980881
50-27-0_8-20220601T033109.pcd,37127,284,7,0,7,0.4488524127712027
50-27-1_1-20220523T042520.pcd,4675,104,18,18,18,1.0519180011870348
50-27-1_1-20220524T041419.pcd,6386,24,18,18,18,0.8975519367580067
50-27-1_1-20220527T045102.pcd,16895,202,19,4,19,1.51221371195093
50-27-1_1-20220530T074538.pcd,13190,484,16,16,6,0.0
50-27-1_1-20220531T042054.pcd,16415,323,23,23,6,0.0879085604673942
50-27-1_1-20220601T033109.pcd,18834,179,24,24,6,0.0444754585272161
50-27-1_1-20220602T052138.pcd,25290,351,25,25,6,0.1161577593319078
50-27-1_10-20220523T042520.pcd,4848,39,15,15,15,0.1612567100384954
50-27-1_10-20220524T041419.pcd,7068,68,15,15,15,0.3282697894661162
50-27-1_10-20220525T030449.pcd,11741,132,15,15,15,0.4313281115166079
50-27-1_10-20220527T045102.pcd,20129,244,16,9,16,0.9375963752875895
50-27-1_10-20220530T074538.pcd,10961,129,14,14,6,0.0
50-27-1_10-20220531T042054.pcd,18341,118,19,19,6,0.0
50-27-1_10-20220601T033109.pcd,22616,264,21,21,6,0.0204253925942567
50-27-1_10-20220602T052138.pcd,26363,369,23,23,6,0.0890792432081086
50-27-1_4-20220523T042520.pcd,5111,130,12,6,9,0.0170608984247151
50-27-1_4-20220524T041419.pcd,9057,27,14,6,11,0.3425843936297824
50-27-1_4-20220525T030449.pcd,13340,152,13,4,11,0.190506913636988
50-27-1_4-20220527T045102.pcd,18872,65,16,8,12,0.5437901414543177
50-27-1_4-20220530T074538.pcd,17740,179,9,5,6,0.0
50-27-1_4-20220531T042054.pcd,20825,165,18,15,6,0.0019725111852847
50-27-1_4-20220601T033109.pcd,25867,341,23,22,6,0.1023546328602242
50-27-1_4-20220602T052138.pcd,30185,198,14,11,6,0.1015500774585928
50-27-1_5-20220523T042520.pcd,5645,48,10,10,10,0.0
50-27-1_5-20220524T041419.pcd,10621,145,18,14,11,0.3612865658240753
50-27-1_5-20220525T030449.pcd,15945,171,19,16,11,0.3778885427886801
50-27-1_5-20220527T045102.pcd,24166,451,12,7,10,0.4622391995397075
50-27-1_5-20220530T074538.pcd,22761,50,8,2,7,0.0
