AFiDs_line,Annotation figure IDs file name,common_database_double-checked file name 
3,0_11-97_20220705T054818.pcd_280199491.pcd,51-97-0_11-20220705T054818.pcd
10,0_2-97_20220705T054818.pcd_280199495.pcd,51-97-0_2-20220705T054818.pcd
34,1_10-97_20220701T081025-1_10.pcd_264498243.pcd,51-97-1_10-20220701T081025.pcd
40,1_10-97_20220702T053351-1_10.pcd_264498244.pcd,51-97-1_10-20220702T053351.pcd
46,1_2-97_20220705T054818.pcd_280199511.pcd,51-97-1_2-20220705T054818.pcd
61,1_6-97_20220706T054932-1_6.pcd_269646777.pcd,51-97-1_6-20220706T054932.pcd
67,1_6-97_20220708T032429-1_6.pcd_269646779.pcd,51-97-1_6-20220708T032429.pcd
70,1_7-97_20220701T081025-1_7.pcd_264498187.pcd,51-97-1_7-20220701T081025.pcd
76,1_7-97_20220702T053351-1_7.pcd_264498188.pcd,51-97-1_7-20220702T053351.pcd
144,27-0_11-20220531T042054.pcd_280230142.pcd,50-27-0_11-20220531T042054.pcd
165,27-0_2-20220530T074538.pcd_280230149.pcd,50-27-0_2-20220530T074538.pcd
179,27-0_2-20220601T033109.pcd_280230151.pcd,50-27-0_2-20220601T033109.pcd
186,27-0_4-20220523T042520.pcd_280230153.pcd,50-27-0_4-20220523T042520.pcd
195,27-0_4-20220524T041419.pcd_280230154.pcd,50-27-0_4-20220524T041419.pcd
204,27-0_4-20220525T030449.pcd_280230155.pcd,50-27-0_4-20220525T030449.pcd
214,27-0_4-20220527T045102.pcd_280230156.pcd,50-27-0_4-20220527T045102.pcd
224,27-0_4-20220530T074538.pcd_280230167.pcd,50-27-0_4-20220530T074538.pcd
239,27-0_4-20220602T052138.pcd_280230170.pcd,50-27-0_4-20220602T052138.pcd
244,27-0_5-20220524T041419.pcd_280230172.pcd,50-27-0_5-20220524T041419.pcd
255,27-0_5-20220525T030449.pcd_280230173.pcd,50-27-0_5-20220525T030449.pcd
266,27-0_5-20220527T045102.pcd_280230174.pcd,50-27-0_5-20220527T045102.pcd
299,27-1_11-20220527T045102.pcd_280230182.pcd,50-27-1_11-20220527T045102.pcd
313,27-1_11-20220530T074538.pcd_280230183.pcd,50-27-1_11-20220530T074538.pcd
321,27-1_11-20220531T042054.pcd_280230184.pcd,50-27-1_11-20220531T042054.pcd
329,27-1_2-20220530T074538.pcd_280230191.pcd,50-27-1_2-20220530T074538.pcd
353,27-1_3-20220601T033109.pcd_280230201.pcd,50-27-1_3-20220601T033109.pcd
365,50-27-0_0-20220524T041419.pcd_293814155.pcd,50-27-0_0-20220524T041419.pcd
380,50-27-0_0-20220525T030449.pcd_293814136.pcd,50-27-0_0-20220525T030449.pcd
412,50-27-0_0-20220530T074538.pcd_293814064.pcd,50-27-0_0-20220530T074538.pcd
414,50-27-0_0-20220531T042054.pcd_293814163.pcd,50-27-0_0-20220531T042054.pcd
416,50-27-0_0-20220601T033109.pcd_293814162.pcd,50-27-0_0-20220601T033109.pcd
418,50-27-0_0-20220602T052138.pcd_293814147.pcd,50-27-0_0-20220602T052138.pcd
420,50-27-0_1-20220523T042520.pcd_293814121.pcd,50-27-0_1-20220523T042520.pcd
437,50-27-0_1-20220524T041419.pcd_293814119.pcd,50-27-0_1-20220524T041419.pcd
454,50-27-0_1-20220525T030449.pcd_293814128.pcd,50-27-0_1-20220525T030449.pcd
488,50-27-0_1-20220530T074538.pcd_293814141.pcd,50-27-0_1-20220530T074538.pcd
653,50-27-0_6-20220523T042520.pcd_293814120.pcd,50-27-0_6-20220523T042520.pcd
1186,50-27-1_6-20220523T042520.pcd_293814132.pcd,50-27-1_6-20220523T042520.pcd
1195,50-27-1_6-20220524T041419.pcd_293814041.pcd,50-27-1_6-20220524T041419.pcd
1217,50-27-1_6-20220527T045102.pcd_293814044.pcd,50-27-1_6-20220527T045102.pcd
3809,Labeling_3 - Andrea_97_20220705T054818-1_1.pcd_260813170.pcd,51-97-1_1-20220705T054818.pcd
3814,Labeling_3 - Krithika_97_20220701T081025-0_9.pcd_258865688.pcd,51-97-0_9-20220701T081025.pcd
3820,Labeling_3 - Krithika_97_20220706T054932-0_9.pcd_259636817.pcd,51-97-0_9-20220706T054932.pcd
3822,Labeling_3 - Priyanka_97_20220701T081025-0_1.pcd_258867372.pcd,51-97-0_1-20220701T081025.pcd
3837,Labeling_3 - Rekha_97_20220701T081025-1_9.pcd_258867374.pcd,51-97-1_9-20220701T081025.pcd
3841,Labeling_3 - Rekha_97_20220702T053351-1_9.pcd_258867375.pcd,51-97-1_9-20220702T053351.pcd
3853,Labeling_3 - Rekha_97_20220706T054932-1_9.pcd_260815156.pcd,51-97-1_9-20220706T054932.pcd
3857,Labeling_3 - Sunita_97_20220701T081025-0_6.pcd_258867377.pcd,51-97-0_6-20220701T081025.pcd
3859,Labeling_3 - Sunita_97_20220702T053351-0_6.pcd_258867378.pcd,51-97-0_6-20220702T053351.pcd
3861,Labeling_3 - Sunita_97_20220704T034007-0_6.pcd_258867379.pcd,51-97-0_6-20220704T034007.pcd
3863,Labeling_3 - Sunita_97_20220706T054932-0_6.pcd_260815167.pcd,51-97-0_6-20220706T054932.pcd
3881,Labeling_5 - Krithika_97_20220709T034019-0_3.pcd_264493339.pcd,51-97-0_3-20220709T034019.pcd
3885,Labeling_5 - Rekha_97_20220702T053351-0_0.pcd_264493858.pcd,51-97-0_0-20220702T053351.pcd
3887,Labeling_5 - Rekha_97_20220704T034007-0_0.pcd_264493859.pcd,51-97-0_0-20220704T034007.pcd
3895,Labeling_5 - Sunita_97_20220701T081025-1_0.pcd_266214380.pcd,51-97-1_0-20220701T081025.pcd
3899,Labeling_5 - Sunita_97_20220702T053351-1_0.pcd_266214381.pcd,51-97-1_0-20220702T053351.pcd
3907,Labeling_5 - Sunita_97_20220705T054818-1_0.pcd_266214383.pcd,51-97-1_0-20220705T054818.pcd
3915,Labeling_5 - Sunita_97_20220707T045320-1_0.pcd_266214385.pcd,51-97-1_0-20220707T045320.pcd
3951,Labeling_Exp51--97--1_6--Krithika_1_6-97_20220702T053351-1_6.pcd_269646774.pcd,51-97-1_6-20220702T053351.pcd
3958,Labeling_Exp51--97--1_6--Krithika_1_6-97_20220705T054818-1_6.pcd_269646776.pcd,51-97-1_6-20220705T054818.pcd
